STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2011,0.284790515899658,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2012,0.320325314998627,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2013,0.264114797115326,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2014,0.322058945894241,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2015,0.302969455718994,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2016,0.227959036827087,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2017,0.278220921754837,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2018,0.21856977045536,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2019,-0.0346965529024601,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_CG,Sector: Central Government,_Z,Not Applicable,_Z,Not Applicable,2020,0.17328642308712,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2011,-0.215951010584831,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2012,-0.26411184668541,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2013,-0.250667214393616,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2014,-0.0170220769941807,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2015,0.212009698152542,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2016,0.0311661045998335,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2017,-0.0677526518702507,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2018,-0.247766777873039,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2019,-0.149957329034805,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2020,0.11525634676218,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2006,0.466830760240555,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_FISCALDECENTRALIZATION_VFI,Vertical Fiscal Imbalance (1- ratio of own revenue to own spending),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SHARE,Share (proportion),IMF_FISCALDECENTRALIZATION_1C_SNG,Sector: Subnational Government,_Z,Not Applicable,_Z,Not Applicable,2007,0.204351827502251,IMF_FISCALDECENTRALIZATION,Fiscal Decentralization,0,Units,RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
