"ccode","year","RAI","SelfR","SharedR","SE_GE","STR_GTR","NT_SE","NT_SR","HL","F","R","LD","G","P","D","B","Fed","logG","logP"
"alb",1992,0,0,0,NA,NA,NA,NA,3,0,1,0.333,1138.23774,3247039,NA,0,0,7.03723650323661,14.9932540621
"alb",1993,0,0,0,NA,NA,NA,NA,4,1,1,0.321,1254.678884,3227287,NA,0,0,7.13463494950303,14.9871524041727
"alb",1994,0,0,0,NA,NA,NA,NA,4,1,0.5,0.34,1367.22059,3207536,24.63,0,0,7.22053519166458,14.9810135991034
"alb",1995,0,0,0,NA,NA,NA,NA,1,0,0,0.344,1558.966386,3187784,29.36,0,0,7.35177830756811,14.974836562519
"alb",1996,0,0,0,NA,NA,NA,NA,0,0,0,0.321,1683.769655,3168033,34.69,0,0,7.42879040100462,14.9686214485289
"alb",1997,0,0,0,NA,NA,NA,NA,2,0,0,0.311,1495.900353,3148281,51.41,0,0,7.31048354735873,14.9623671475599
"alb",1998,0,0,0,NA,NA,NA,NA,4,1,1,0.323,1630.438741,3128530,57.01,0,0,7.39660442383974,14.9560738036346
"alb",1999,0,0,0,NA,NA,NA,NA,4,1,1,0.326,1841.807628,3108778,57.79,0,0,7.5185027748793,14.9497402808947
"alb",2000,2,2,0,NA,NA,NA,NA,3,0,0,0.342,1991.914359,3089027,63.38,0,0,7.59685144475046,14.9433667125553
"alb",2001,2,2,0,NA,NA,NA,NA,3,0,0,0.366,2188.918545,3060173,60.61,0,0,7.69116288577524,14.9339820082782
"alb",2002,2,2,0,NA,NA,NA,NA,1,0,0,0.395,2297.108535,3051010,64.1,0,0,7.73940645233468,14.9309832413073
"alb",2003,2,2,0,NA,NA,NA,NA,0,0,0,0.398,2428.689347,3039616,60.24,0,0,7.79510702745136,14.9272417496144
"alb",2004,2,2,0,NA,NA,NA,NA,0,0,0,0.406,2567.297637,3026939,57.47,0,0,7.85060912155919,14.9230624358352
"alb",2005,2,2,0,NA,NA,NA,NA,0,0,0,0.425,2712.869838,3011487,58.2,0,0,7.90576233436092,14.9179445346709
"alb",2006,2,2,0,NA,NA,NA,NA,0,0,0,0.444,2894.360326,2992547,56.69,0,0,7.97051940738844,14.9116354222224
"alb",2007,2,2,0,NA,NA,NA,NA,0,0,0,0.446,3105.879676,2970017,53.55,0,0,8.04105226374383,14.9040782346682
"alb",2008,2,2,0,NA,NA,NA,NA,0,0,0,0.447,3345.981618,2947314,55.14,0,0,8.11551538780783,14.8964048050768
"alb",2009,2,2,0,NA,NA,NA,NA,0,0,0,0.446,3459.246956,2927519,59.67,0,0,8.14880620158958,14.8896658646123
"alb",2010,2,2,0,NA,NA,NA,NA,0,0,0,0.44,3579.824132,2913021,57.71,0,0,8.1830689530484,14.8847012449784
"alb",2011,2,2,0,0.136191308498383,0.0394037254154682,0.735698640346527,2.98817038536072,2,0,1,0.441,3677.894579,2905195,59.4,0,0,8.21009574216512,14.8820110716608
"alb",2012,2,2,0,0.132122352719307,0.0346131809055805,0.720018327236176,2.97698760032654,0,0,0,0.444,3771.847819,2900401,62.12,0,0,8.23532029802961,14.8803595612595
"alb",2013,2,2,0,0.141959309577942,0.0357136987149715,0.758102476596832,3.58633947372437,0,0,0,0.433,3895.899756,2895092,65.53,0,0,8.26767993445194,14.8785274474135
"alb",2014,2,2,0,0.145377159118652,0.0374064743518829,0.801507949829102,3.453857421875,0,0,0,0.436,4045.119349,2889104,70.03,0,0,8.30526633437252,14.8764569774159
"arg",1990,22.74,14.09,8.65,NA,NA,NA,NA,3,0,0,0.617,8115.093864,32755901,44.74,NA,NA,9.00148104661008,17.3045936870206
"arg",1991,22.81,14.14,8.68,NA,NA,NA,NA,3,0,0,0.63,8729.823185,33230294,32.93,NA,NA,9.07450039490574,17.3189724877187
"arg",1992,22.81,14.14,8.68,NA,NA,NA,NA,0,0,0,0.631,9293.186923,33693527,27.77,NA,NA,9.13703682174222,17.3328162997221
"arg",1993,22.81,14.14,8.68,NA,NA,NA,NA,4,0,1,0.63,9920.673586,34152717,26.89,NA,NA,9.20237609978821,17.3463527015776
"arg",1994,22.81,14.14,8.68,NA,NA,NA,NA,4,0,1,0.633,10359.89272,34613491,28.43,NA,NA,9.2456971605475,17.3597540773263
"arg",1995,22.81,14.14,8.68,NA,NA,NA,NA,0,0,0,0.641,9934.107761,35070020,30.75,NA,NA,9.20372934330325,17.3728571924042
"arg",1996,23.89,15,8.89,NA,NA,NA,NA,0,0,0,0.634,10352.14,35513793,32.55,NA,NA,9.24494854060596,17.3854317141967
"arg",1997,23.89,15,8.89,NA,NA,NA,NA,0,0,0,0.634,11056.68813,35947791,31.68,NA,NA,9.31079078448304,17.39757819379
"arg",1998,23.89,15,8.89,NA,NA,NA,NA,0,0,0,0.634,11348.20221,36372860,34.15,NA,NA,9.33681461476893,17.4093334501102
"arg",1999,23.89,15,8.89,NA,NA,NA,NA,0,0,0,0.64,10838.31993,36794682,38.92,NA,NA,9.29084327497437,17.4208638818269
"arg",2000,23.89,15,8.89,NA,NA,NA,NA,2,0,0,0.67,10631.65036,37213984,40.83,NA,NA,9.27159071422405,17.4321951625839
"arg",2001,22.5,15,7.5,NA,NA,NA,NA,0,0,0,0.674,10051.94485,37624825,48.01,NA,NA,9.21552141217808,17.4431746298597
"arg",2002,22.5,15,7.5,NA,NA,NA,NA,4,0,1,0.661,8861.561993,38029349,147.2,NA,NA,9.08947832523893,17.4538687616932
"arg",2003,22.5,15,7.5,NA,NA,NA,NA,0,0,0,0.638,9545.531941,38424282,125.16,NA,NA,9.16382846441318,17.4642001614629
"arg",2004,22.5,14,8.5,NA,NA,NA,NA,0,0,0,0.632,10302.44653,38815916,117.88,NA,NA,9.24013667319708,17.4743409266675
"arg",2005,22.5,14,8.5,NA,NA,NA,NA,0,0,0,0.625,11099.75092,39216789,80.28,NA,NA,9.31467794740901,17.4846155038867
"arg",2006,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.614,11870.27916,39622115,70.79,NA,NA,9.38179300544006,17.4948979799401
"arg",2007,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.61,12811.90212,40016763,62.13,NA,NA,9.4581298709871,17.5048089992908
"arg",2008,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.59,13197.35703,40424148,53.81,NA,NA,9.48777186352676,17.5149378871386
"arg",2009,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.583,12285.37847,40854831,55.4,NA,NA,9.41616509196955,17.5255356342118
"arg",2010,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.578,13387.15537,41288694,43.45,NA,NA,9.50205097175425,17.5360992674274
"arg",2011,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.573,14040.61891,41730660,38.93,NA,NA,9.54970975851706,17.5467466684024
"arg",2012,23.5,14,9.5,NA,NA,NA,NA,1,0,0.5,0.582,13754.42542,42161721,40.44,NA,NA,9.5291159000398,17.5570232820473
"arg",2013,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.588,13946.09508,42582455,43.5,NA,NA,9.54295482548323,17.5669528719442
"arg",2014,23.5,14,9.5,NA,NA,NA,NA,0,0,0,0.595,13456.13192,43024071,44.7,NA,NA,9.50719018596967,17.5772703077311
"aus",1990,23.45,15.95,7.5,NA,0.199262544512749,NA,NA,4,0,0,0.851,36975.4199,17065128,12.07,1,1,10.5180086438364,16.6525476410273
"aus",1991,23.45,15.95,7.5,NA,0.207328647375107,NA,NA,4,0,0,0.851,36366.69624,17284036,11.91,1,1,10.5014086963516,16.665293858883
"aus",1992,23.45,15.95,7.5,NA,0.228190287947655,NA,NA,0,0,0,0.851,36117.54465,17478635,14.27,1,1,10.4945340276456,16.6764898358977
"aus",1993,23.45,15.95,7.5,NA,0.237387016415596,NA,NA,0,0,0,0.849,37246.00443,17634808,17.69,1,1,10.5252999544304,16.6853852341533
"aus",1994,23.45,15.95,7.5,NA,0.245553359389305,NA,NA,3,0,0,0.848,38356.7692,17805468,19.89,1,1,10.5546863023013,16.6950161591001
"aus",1995,24.45,14.95,9.5,NA,NA,NA,NA,0,0,0,0.848,39407.56475,18004882,22.12,1,1,10.5817130755876,16.7061535013086
"aus",1996,24.45,14.95,9.5,NA,NA,NA,NA,0,0,0,0.849,40437.09419,18224767,21.38,1,1,10.607502815706,16.7182920511408
"aus",1997,24.45,14.95,9.5,NA,NA,NA,NA,0,0,0,0.841,41569.16537,18423037,20.51,1,1,10.6351139543449,16.7291124503367
"aus",1998,24.45,14.95,9.5,NA,NA,NA,NA,0,0,0,0.841,43081.72017,18607584,16.28,1,1,10.6708540601389,16.7390797975148
"aus",1999,25.45,14.95,10.5,0.468243271112442,0.228216990828514,0.327931821346283,0.478128015995026,3,0,0,0.842,44755.65997,18812264,15.44,1,1,10.7089731954816,16.7500195555442
"aus",2000,25.45,14.95,10.5,0.467823207378387,0.223563656210899,0.335163444280624,0.485654145479202,0,0,0,0.847,45979.07657,19028802,13.69,1,1,10.7359417148184,16.761464284059
"aus",2001,25.45,14.95,10.5,0.461510449647903,0.182096481323242,0.39602866768837,0.679533541202545,3.33333333333333,0,0.333333333333333,0.844,46314.62353,19274701,11.98,1,1,10.743213033187,16.7743039649717
"aus",2002,25.45,14.95,10.5,0.457648575305939,0.184053048491478,0.429677933454514,0.765090107917786,0,0,0,0.838,47599.40793,19495210,10.31,1,1,10.7705756016968,16.7856793523336
"aus",2003,25.45,14.95,10.5,0.458553373813629,0.18289577960968,0.418697208166122,0.711156845092773,5,0,1,0.838,48509.66322,19720737,8.97,1,1,10.7895182987291,16.7971812796656
"aus",2004,25.45,14.95,10.5,0.456071972846985,0.187112972140312,0.409198313951492,0.666955888271332,0,0,0,0.838,50018.59045,19932722,8.08,1,1,10.8201500243064,16.8078732608861
"aus",2005,25.45,14.95,10.5,0.455589324235916,0.178905338048935,0.409337759017944,0.676272928714752,0,0,0,0.838,50972.64052,20176844,7.34,1,1,10.8390443073679,16.8200461681914
"aus",2006,25.45,14.95,10.5,0.463797926902771,0.178756341338158,0.403712153434753,0.662567436695099,0,0,0,0.838,51682.89252,20450966,6.55,1,1,10.8528821067045,16.8335406765013
"aus",2007,25.45,14.95,10.5,0.468323647975922,0.183252066373825,0.385617911815643,0.641467332839966,0,0,0,0.839,52671.32585,20827622,6.07,1,1,10.8718264849345,16.8517906444542
"aus",2008,25.45,14.95,10.5,0.470091372728348,0.181752398610115,0.390282094478607,0.668875157833099,0,0,0,0.849,53497.27536,21249199,7.6,1,1,10.8873860037368,16.8718297585066
"aus",2009,25.45,14.95,10.5,0.4548599421978,0.181950196623802,0.395472049713135,0.728579044342041,0,0,0,0.849,53430.52748,21691653,11.48,1,1,10.8861375372594,16.8924380901343
"aus",2010,25.45,14.95,10.5,0.481993407011032,0.199566811323166,0.407353222370148,0.796587824821472,0,0,0,0.856,53768.34973,22031750,14.23,1,1,10.8924402780551,16.9079951527547
"aus",2011,25.45,14.95,10.5,0.471276879310608,0.197563245892525,0.401868522167206,0.745673716068268,0,0,0,0.857,54296.23213,22340024,16.98,1,1,10.9022101136434,16.9218904259109
"aus",2012,25.45,14.95,10.5,0.45890998840332,0.188059762120247,0.382368683815002,0.698342561721802,0,0,0,0.858,55465.44629,22733465,19.23,1,1,10.9235155164759,16.9393486259177
"aus",2013,25.45,14.95,10.5,0.459872335195541,0.18759398162365,0.357029110193253,0.625457763671875,0,0,0,0.821,55966.15093,23128129,21.24,1,1,10.9325023392866,16.9565601403176
"aus",2014,25.45,14.95,10.5,0.450885027647018,0.192578613758087,0.3696528673172,0.629531025886536,0,0,0,0.815,56571.80625,23475686,24.59,1,1,10.9432660172954,16.9714758052088
"aut",1990,23,15,8,NA,0.309703469276428,NA,NA,0,0,0,0.78,31167.1858,7677850,45.78,1,1,10.3471210831544,15.8538501180145
"aut",1991,23,15,8,NA,0.313046246767044,NA,NA,3,0,1,0.779,31919.55735,7754891,46.48,1,1,10.3709741839864,15.8638342990459
"aut",1992,23,15,8,NA,0.307471662759781,NA,NA,0,0,0,0.781,32231.12161,7840709,46.54,1,1,10.3806877743901,15.8748398219112
"aut",1993,23,15,8,NA,0.302684098482132,NA,NA,0,0,0,0.782,32134.82991,7905633,50.32,1,1,10.3776957648086,15.8830861013211
"aut",1994,23,15,8,NA,0.318020462989807,NA,NA,0,0,0,0.782,32780.34194,7936118,53.02,1,1,10.397584283604,15.8869347967879
"aut",1995,23,15,8,0.306640297174454,0.078726515173912,0.588858008384705,1.57320082187653,0,0,0,0.779,33603.42783,7948278,55.55,1,1,10.4223833594977,15.8884658593949
"aut",1996,23,15,8,0.317449867725372,0.0739316716790199,0.607477486133575,1.55548644065857,0,0,0,0.78,34301.65622,7959017,55.92,1,1,10.4429489182857,15.8898160577324
"aut",1997,22,14,8,0.303373217582703,0.0711778625845909,0.698885023593903,2.10942554473877,0,0,0,0.78,34998.03212,7968041,57.12,1,1,10.463047113748,15.8909492238157
"aut",1998,22,14,8,0.306037366390228,0.0705510675907135,0.689404606819153,2.13414096832275,0,0,0,0.78,36180.74906,7976789,57.15,1,1,10.4962824624387,15.8920465074967
"aut",1999,23,14,9,0.309071093797684,0.0700666978955269,0.693331658840179,2.27827382087708,0,0,0,0.78,37468.86989,7992324,58.1,1,1,10.5312657309379,15.8939921390293
"aut",2000,23,14,9,0.308877497911453,0.0660045519471169,0.697019934654236,2.38247299194336,1,0,0,0.782,38571.08588,8011566,56.83,1,1,10.5602582042931,15.8963968055538
"aut",2001,23,14,9,0.310032188892365,0.0575515925884247,0.703538954257965,2.28016757965088,0,0,0,0.782,38929.7538,8042293,55.35,1,1,10.5695141164129,15.9002247994986
"aut",2002,23,14,9,0.315328389406204,0.0590991303324699,0.694595396518707,2.28992676734924,0,0,0,0.782,39313.72251,8081957,55.07,1,1,10.579328910193,15.9051446041412
"aut",2003,23,14,9,0.315563708543777,0.060241486877203,0.682891368865967,2.15847444534302,0,0,0,0.786,39569.28856,8121423,55.03,1,1,10.5858085549406,15.9100159430894
"aut",2004,23,14,9,0.28813424706459,0.0603301525115967,0.676173210144043,2.15117335319519,0,0,0,0.785,40333.33072,8171966,56.35,1,1,10.6049334711174,15.9162200743628
"aut",2005,23,14,9,0.302605867385864,0.0609458349645138,0.677890539169312,2.13858532905579,0,0,0,0.784,40989.01318,8227829,56,1,1,10.6210593385562,15.9230327468458
"aut",2006,23,14,9,0.30394372344017,0.0614163167774677,0.668171584606171,2.17298936843872,0,0,0,0.788,42120.1557,8268641,54.62,1,1,10.6482816628223,15.9279807245968
"aut",2007,23,14,9,0.305465430021286,0.0601801313459873,0.680703699588776,2.20332479476929,0,0,0,0.802,43568.83022,8295487,52.22,1,1,10.682097270461,15.9312221899496
"aut",2008,23,14,9,0.310211807489395,0.0596710033714771,0.692657172679901,2.36097860336304,0,0,0,0.802,44063.8642,8321496,55.5,1,1,10.6933953196427,15.9343526043262
"aut",2009,23,14,9,0.303938746452332,0.0628370940685272,0.644144415855408,2.23810338973999,0,0,0,0.804,42372.47583,8343323,58.93,1,1,10.6542542754749,15.9369721362253
"aut",2010,23,14,9,0.31006532907486,0.0630589500069618,0.62945544719696,2.17206168174744,0,0,0,0.803,43035.40735,8363404,60.12,1,1,10.6697784825901,15.9393760792203
"aut",2011,23,14,9,0.307870924472809,0.0623182095587254,0.671960890293121,2.25800490379334,0,0,0,0.804,44146.19568,8391643,59.44,1,1,10.695262034256,15.9427468876386
"aut",2012,23,14,9,0.306940972805023,0.0624397210776806,0.683180868625641,2.25710892677307,0,0,0,0.803,44221.45995,8429991,59.87,1,1,10.6969654694702,15.9473062623618
"aut",2013,23,14,9,0.307282328605652,0.0622022561728954,0.693285942077637,2.29625248908997,0,0,0,0.807,43851.36755,8479823,60.38,1,1,10.6885611843152,15.9532001349087
"aut",2014,23,14,9,0.304084271192551,0.0623130574822426,0.690603792667389,2.23301601409912,0,0,0,0.805,43838.83459,8546356,59.44,1,1,10.6882753380113,15.961015551234
"bel",1990,36.14,21.19,14.95,NA,NA,NA,NA,3,0,0,0.797,29609.62075,9967379,104.24,1,1,10.2958546128407,16.1148282187107
"bel",1991,36.14,21.19,14.95,NA,NA,NA,NA,3,0,0,0.798,30040.55084,10004486,106.79,1,1,10.3103034425941,16.1185441503674
"bel",1992,36.14,21.19,14.95,NA,NA,NA,NA,4,0,1,0.808,30376.87453,10045158,108.97,1,1,10.3214368916605,16.122601285326
"bel",1993,36.14,21.19,14.95,NA,NA,NA,NA,2.5,0,0.5,0.808,29967.39442,10084475,115.49,1,1,10.307865216925,16.1265076705043
"bel",1994,36.14,21.19,14.95,NA,NA,NA,NA,4,0,1,0.808,30839.24143,10115603,112.7,1,1,10.3365432304227,16.1295896412411
"bel",1995,32.03,22.07,9.96,0.328746557235718,0.104229018092155,0.602936863899231,1.65849220752716,4,0,1,0.812,31508.62266,10136811,116.61,1,1,10.3580165225932,16.1316840096213
"bel",1996,33.03,22.07,10.96,0.328224927186966,0.108175776898861,0.607430756092072,1.59890818595886,4,0,1,0.812,31862.66939,10156637,114.05,1,1,10.3691903649511,16.1336379413837
"bel",1997,33.03,22.07,10.96,0.336933344602585,0.108123898506165,0.619306027889252,1.6242401599884,0,0,0,0.812,32991.50101,10181245,111.37,1,1,10.4040052621267,16.1360578602335
"bel",1998,33.03,22.07,10.96,0.33661162853241,0.104440823197365,0.636838793754578,1.64054608345032,4,0,1,0.813,33566.98759,10203008,106.87,1,1,10.4212983507674,16.1381931367402
"bel",1999,33.03,22.07,10.96,0.344464749097824,0.107243560254574,0.634476840496063,1.61622560024261,2.5,0,0.5,0.816,34676.60516,10226419,103.87,1,1,10.4538205356761,16.1404850277705
"bel",2000,33.03,22.07,10.96,0.348636895418167,0.098051406443119,0.624865710735321,1.66693091392517,1.5,0,0,0.819,35878.31536,10251250,98.93,1,1,10.487888363008,16.1429102073328
"bel",2001,33.03,22.07,10.96,0.352122604846954,0.104767337441444,0.651148438453674,1.67696070671082,0,0,0,0.819,36148.28809,10286570,98.16,1,1,10.4953848707256,16.146349718909
"bel",2002,33.92,22.97,10.96,0.368090718984604,0.14027301967144,0.552192270755768,1.26105809211731,0,0,0,0.819,36600.86259,10332785,95.3,1,1,10.5078270871445,16.1508324078572
"bel",2003,33.92,22.97,10.96,0.367287695407867,0.147624388337135,0.55949729681015,1.26888704299927,0,0,0,0.819,36826.26993,10376133,89.33,1,1,10.5139667262759,16.1550188229379
"bel",2004,33.92,22.97,10.96,0.375471174716949,0.144990757107735,0.561934947967529,1.27863132953644,0,0,0,0.795,37976.6973,10421137,85.09,1,1,10.5447280216594,16.1593467054192
"bel",2005,33.93,22.97,10.96,0.3574438393116,0.148391261696815,0.564007818698883,1.27043354511261,0,0,0,0.816,38645.26052,10478617,83.86,1,1,10.5621794208819,16.1648472625001
"bel",2006,33.93,22.97,10.96,0.381336241960526,0.151319265365601,0.554616212844849,1.2283022403717,0,0,0,0.818,39371.08583,10547958,80.87,1,1,10.5807869636946,16.1714428446499
"bel",2007,33.93,22.97,10.96,0.376333475112915,0.156817778944969,0.564135313034058,1.21531915664673,0,0,0,0.828,40520.08432,10625700,77.2,1,1,10.6095530393081,16.1787861529575
"bel",2008,33.93,22.97,10.96,0.374385207891464,0.147912323474884,0.564726233482361,1.27802383899689,0,0,0,0.832,40380.9075,10709973,82.74,1,1,10.6061123656113,16.1866859214124
"bel",2009,33.93,22.97,10.96,0.376003831624985,0.163250640034676,0.529608011245728,1.23084545135498,0,0,0,0.834,39293.63755,10796493,86.18,1,1,10.578817890349,16.1947319171385
"bel",2010,33.93,22.97,10.96,0.375413507223129,0.160038337111473,0.51873105764389,1.18352425098419,0,0,0,0.834,39991.56462,10895586,85.74,1,1,10.5964238263568,16.2038683110549
"bel",2011,33.93,22.97,10.96,0.377065598964691,0.162338852882385,0.526837110519409,1.1908255815506,4,0,1,0.835,40236.95963,11038264,87.82,1,1,10.6025412460046,16.2168783400719
"bel",2012,33.93,22.97,10.96,0.372471898794174,0.154975011944771,0.528678596019745,1.20292508602142,3,0,1,0.835,40074.4928,11106932,88.57,1,1,10.5984953211282,16.2230799758653
"bel",2013,33.93,22.97,10.96,0.377411842346191,0.161243885755539,0.527978599071503,1.17286956310272,0,0,0,0.839,40007.89979,11159407,89.23,1,1,10.5968322083466,16.2277933773049
"bel",2014,34.45,22.97,11.48,0.375569880008698,0.157986551523209,0.53192800283432,1.19770908355713,0,0,0,0.838,40533.9135,11209057,89.62,1,1,10.609894273066,16.2322326701897
"bgd",1990,13.73,13.72,0.01,NA,NA,NA,NA,3,0,0,0.162,473.444821,111633717,31.48,NA,NA,6.16003537151658,18.5307336859372
"bgd",1991,13.73,13.72,0.01,NA,NA,NA,NA,3,0,0.5,0.253,480.673359,113787109,31.76,NA,NA,6.17518795210344,18.54983979556
"bgd",1992,5.4,5.39,0.01,NA,NA,NA,NA,0,0,0,0.272,497.3711737,115952192,33.14,NA,NA,6.20933657572931,18.5686885261874
"bgd",1993,5.37,5.36,0.01,NA,NA,NA,NA,0,0,0,0.269,511.1935094,118132360,34.05,NA,NA,6.23674820619086,18.5873162487155
"bgd",1994,5.67,5.66,0.01,NA,NA,NA,NA,0,0,0,0.269,521.3231447,120343179,35.49,NA,NA,6.25637008883185,18.6058580442266
"bgd",1995,5.67,5.66,0.01,NA,NA,NA,NA,4,0,0,0.269,537.9319466,122600370,32.89,NA,NA,6.28773205885228,18.6244405994064
"bgd",1996,5.67,5.66,0.01,NA,NA,NA,NA,1,0,0,0.271,552.0771071,124862179,31.03,NA,NA,6.31368772329717,18.6427211189913
"bgd",1997,5.67,5.66,0.01,NA,NA,NA,NA,0,0,0,0.275,566.2711408,127198069,29.06,NA,NA,6.33907301084646,18.6612560279375
"bgd",1998,5.67,5.66,0.01,NA,NA,NA,NA,0,0,0,0.275,584.4481752,129622332,31.12,NA,NA,6.37066811179722,18.6801356418528
"bgd",1999,5.76,5.75,0.01,NA,NA,NA,NA,0,0,0,0.275,600.2323232,132108065,32.67,NA,NA,6.39731678560484,18.6991308198621
"bgd",2000,5.76,5.75,0.01,NA,NA,NA,NA,0,0,0,0.276,620.5604728,134544304,31.2,NA,NA,6.43062305807481,18.7174041005362
"bgd",2001,5.79,5.78,0.01,NA,NA,NA,NA,1,0,0,0.271,641.2889229,136805810,37.07,NA,NA,6.46348009312243,18.7340730330111
"bgd",2002,5.81,5.8,0.01,NA,NA,NA,NA,4,0.5,0.5,0.236,655.6721394,138933658,38.9,NA,NA,6.48566087650869,18.7495070965848
"bgd",2003,5.81,5.8,0.01,NA,NA,NA,NA,4,1,1,0.237,676.826252,140970351,37.04,NA,NA,6.51741459595584,18.7640601496355
"bgd",2004,5.81,5.8,0.01,NA,NA,NA,NA,4,1,1,0.233,702.6563571,142902856,36.58,NA,NA,6.55486794882668,18.7776756287046
"bgd",2005,5.81,5.8,0.01,NA,NA,NA,NA,4,1,1,0.233,739.2037184,144715786,35.56,NA,NA,6.60557355061785,18.79028228033
"bgd",2006,5.81,5.8,0.01,NA,NA,NA,NA,4,1,1,0.214,779.4195704,146405973,35.33,NA,NA,6.65854950216083,18.8018939578395
"bgd",2007,5.81,5.8,0.01,NA,NA,NA,NA,4,1,1,0.103,825.50823,147989278,34.99,NA,NA,6.71599923302581,18.8126503831581
"bgd",2008,5.81,5.8,0.01,NA,NA,NA,NA,3.5,0.25,0.25,0.105,866.4581576,149474264,33.87,NA,NA,6.76441381901106,18.8226347888188
"bgd",2009,15.01,15,0.01,NA,NA,NA,NA,3.33333333333333,0.333333333333333,0,0.193,901.7296263,150873714,33.01,NA,NA,6.8043147260158,18.8319537137334
"bgd",2010,15.01,15,0.01,NA,NA,NA,NA,4,1,0,0.173,943.6642286,152201981,29.62,NA,NA,6.84977041283042,18.8407190190759
"bgd",2011,15,14.99,0.01,NA,NA,NA,NA,1,0,0.5,0.168,995.5799472,153591076,29.39,NA,NA,6.90332542886834,18.8498042780317
"bgd",2012,15,14.99,0.01,NA,NA,NA,NA,1,0,0,0.166,1050.391404,155070101,29.08,NA,NA,6.95691813940598,18.8593878371589
"bgd",2013,14.99,14.98,0.01,NA,NA,NA,NA,1,0,0,0.144,1103.156959,156532141,28.34,NA,NA,7.00593131103345,18.8687719206601
"bgd",2014,14.99,14.98,0.01,NA,NA,NA,NA,4,1,1,0.107,1159.407535,157964929,28.68,NA,NA,7.05566440793575,18.8778835979982
"bgr",1991,1,1,0,0.222797453403473,0.266227632761002,0.248686030507088,0.319417297840118,0,0,0,0.508,4092.079489,8632367,115.2,0,0,8.31680855234717,15.971029301235
"bgr",1992,1,1,0,0.264991968870163,0.287681013345718,0.354117870330811,0.606936037540436,0,0,0,0.598,3835.454386,8540164,145.96,0,0,8.25204319074618,15.9602907693274
"bgr",1993,1,1,0,0.219821035861969,0.262145072221756,0.459250152111053,0.837292015552521,0,0,0,0.593,3808.943205,8472313,199.91,0,0,8.24510705562971,15.9523141108123
"bgr",1994,1,1,0,0.18499781191349,0.155646324157715,0.466776221990585,0.896604776382446,0,0,0,0.593,3891.382404,8443591,118.96,0,0,8.26651974726111,15.9489182500174
"bgr",1995,1,1,0,NA,0.176575407385826,NA,NA,0,0,0,0.588,4021.995239,8406067,72.03,0,0,8.29953338659246,15.9444642650127
"bgr",1996,1,1,0,NA,0.186946511268616,NA,NA,1,0,0,0.597,4253.234639,8362826,113.84,0,0,8.35543506396459,15.9393069662163
"bgr",1997,1,1,0,NA,0.142884656786919,NA,NA,0,0,0,0.609,3675.180807,8312068,88.37,0,0,8.20935760962037,15.933218992671
"bgr",1998,1,1,0,NA,0.141134336590767,NA,NA,0,0,0,0.609,3839.976816,8256786,65.14,0,0,8.25322160806355,15.9265459656603
"bgr",1999,1,1,0,NA,0.143402978777885,NA,NA,0,0,0,0.616,3537.345444,8210624,70.34,0,0,8.17113185025497,15.9209394834125
"bgr",2000,1,1,0,NA,0.129025831818581,NA,NA,1,0,0,0.617,3717.928899,8170172,71.5,0,0,8.22092204464506,15.9160005192462
"bgr",2001,1,1,0,NA,0.141915738582611,NA,NA,0,0,0,0.595,3937.701609,8009142,65.3,0,0,8.27835248410881,15.8960941972023
"bgr",2002,1,1,0,NA,0.144527748227119,NA,NA,0,0,0,0.619,4260.404775,7837161,51.48,0,0,8.35711945235516,15.8743872093993
"bgr",2003,1,1,0,NA,0.0228570643812418,NA,NA,0,0,0,0.621,4519.184392,7775327,43.84,0,0,8.41608681229647,15.866466073023
"bgr",2004,1,1,0,NA,0.0228078458458185,NA,NA,0,0,0,0.623,4849.871413,7716860,36.09,0,0,8.48670747079655,15.8589181035102
"bgr",2005,1,1,0,NA,0.0249327514320612,NA,NA,0,0,0,0.604,5231.338119,7658972,27.09,0,0,8.5624223788271,15.8513883290553
"bgr",2006,1,1,0,NA,0.0309452228248119,NA,NA,0,0,0,0.61,5629.80128,7601022,21.73,0,0,8.63582942388557,15.8437932699
"bgr",2007,1,1,0,NA,0.0365113839507103,NA,NA,0,0,0,0.611,6048.742318,7545338,17.07,0,0,8.70760564809226,15.8364404470601
"bgr",2008,1,1,0,NA,0.0399855598807335,NA,NA,4,0,1,0.617,6464.72198,7492561,13.84,0,0,8.77411528641429,15.8294212196146
"bgr",2009,2,2,0,NA,0.038944385945797,NA,NA,0,0,0,0.587,6288.725432,7444443,14.96,0,0,8.74651369513918,15.8229784059892
"bgr",2010,2,2,0,NA,0.0398990213871002,NA,NA,0,0,0,0.568,6428.717426,7395599,17.02,0,0,8.76853033015037,15.8163956515228
"bgr",2011,2,2,0,NA,0.0407452210783958,NA,NA,4,0,1,0.565,6605.308517,7348328,16.93,0,0,8.79562892547949,15.8099833623176
"bgr",2012,2,2,0,NA,0.0405584238469601,NA,NA,0,0,0,0.561,6693.427733,7305888,18.51,0,0,8.80888138857396,15.804191156354
